Input,label
Rus tili qani maraz,0
Zo'r,1
Bir darajani o'tkazib bo'lmaydi.,0
Hech narsa qilolmaysan,0
"Faqat mukammal Vau, bu pul to'laydiganlardagidan ko'ra yaxshiroq istayman. Xudo ijodkorni baraka qilsin",1
"Men buni yaxshi ko'raman va so'rashni istardim. Agar siz Dragon va boshqalar griffinni bajarishingiz mumkin, shuning uchun siz plzga javob bera olasiz va men o'yinni yaxshi ko'raman va yaxshi ishni davom ettiraman",1
Miya mashqlari Ushbu o'yin sizning miyangizni ushbu o'yinning bir necha darajalari o'ynaganidan keyin faollik bilan ta'minlaydi. Nihoyasiga yetkazmoqchimisiz?,1
"Uni yaxshi ko'rishni yaxshi ko'raman, shuning uchun o'ynashni o'yladim",1
Ajoyib,1
"Yaxshi boshlandi Shahardagi xarita ichiga kirib bo'lmaydi, endi u menga qora ekran beradi va u yerda qoladi. Men uni tuzatishga pul to'layapman. Endi esa pulni qaytarib beraman. Zo'rlik bilan 5 yulduz beraman. 4.1.3 android",0
SGN3 Men aloqalarimni ulashishni yoqtirmayman va uni butunlay o'chirishning yo'li yo'q. Shuning uchun men ushbu ilovani o'chirib tashlayapman.,0
"Ushbu o'yin adolatli emas Nima uchun CPU har doim g'alaba qozonadi. O'yin yaxshi, lekin hech qachon g'alaba qozona olmayman. O'yinlarni aldash juda ko'p",1
Ilovalar yetarli emas,0
"Ishlamaydi, u muzlaydi. Bu mening galaxy tab 2da ishlamaydi, na mening galaxy S5. Katta ko'ngilsizlik. Iltimos, iltimos.",0
Lover qiz Bu o'yin ajoyib,1
Sizga 3 ta tilni taklif qilish ajoyib,1
Ushbu programma boshqa ussd programmalari ichida eng zo'ri deb bilaman. Chunki men foydalanganlarim ichida faqat shunisi internet bo'lishi bilanoq avto yangilanadi. Bu pragrammani tuzganlarga katta rahmat ishlaringizga omad tilayman.,1
Norm prog,1
"Zo'r Ishilarga omad, rivoj tilayman. Izoh qoldirish va like va dislike tugmalarini joriy qilsangiz yaxshi bolardi.",1
"Muammoni o'qiy olmayman, ushbu ilovani yuklab olishdan voz keching",0
Kattalashtirish uchun o'yinlarning ayrim qismini o'ynay olmayman,0
"Samsung S5 Qanchadan-qancha, lekin uni ishga tushirish uchun 3 xil ilovani yuklab olish kerak.",0
"O'ylaymanki, bu o'yinni yaxshi ko'raman",1
Mujaheed,1
Ajoyib Super o'yini. Bu o'yinni bir muddat sotib olishni xohlayotgan edingiz. Ilovani qabul qilish qarorimni yakunladi. Katta o'yin. Katta ilovalar.,1
Horiable Qurilmalarimning ko'p qismini saqlash kerak.,0
Padaringga lanat degan joyini olib tashela,1
Ishlamaydi Oxirgi yangilashdan so'ng o'yin ishlamayapti ... Men o'yinni ocholmadim.,0
Barcha simulyator o'yinlari pulga arzimaydi. Men ajoyib bo'lar edim va siz bu o'yinni butunlay olishingiz kerak,1
"Yaxshi, lekin yaxshi emas, lekin nima uchun bizda to'liq lego yulduzi urushlari bo'lib, to'liq dastak konsoli",0
Huuu,1
"Bolalar bu videoni mening telefonimga tushirib yuborganimdan xursandman, shuning uchun ular mening planshetimga qarshi urushdan chiqadilar. Men yomon baholash tufayli optimizm bo'lgan, lekin u ajoyib ishlaydi va bolalar o'yin-kulgi qildi.",1
"Ilova uchun tashakkur va men tushkunlikka tushdim. Ko'p shukurki, bu ilova uchun ayni paytda muammo emas",1
Tashakkur yangiliklarni birinchilardan bo'lib berib borayotgan ilova sayti ijodkorlariga minnatdorchilik bildiramiz,1
"Vau, yosh bolaning ingliz tilini o'rganishi uchun juda yaxshi dastur. O'g'lim bu dastur orqali ingliz tili raqamlarini va ranglarini gapira oladi.",1
"Katta o'yin, lekin etarli emas, albatta, biz keyingi qism uchun 2.99 to'lashni bekor qilish uchun faqatgina boblar uchun nihoyasiga etgandi. Men, albatta, o'yin va grafikalar yoqdi. Eng yaxshi ko'rganman. Men ikkinchi qismni sotib olishga harakat qilyapman va umid qilamanki",1
"Shunday qilib, juda yaxshi",0
Sinxronizatsiyada hatolik yo'qotilibdi. Android 5.1. Redmi note 3. MIUI 8. Bug ni yo'qotsa bo'lar ekanku...,1
Saifu buni sevaman ... men uni onlayn o'yin qilish uchun sujjest bo'lardi ..,1
"Zo'r o'yin O'yinni zerikarli deb hisoblaydigan kimdir o'yinni juda qiziqarli deb topdim, shuning uchun soatlab o'ynashni to'xtata olmadim. Bu ajoyib.",1
"Fun Puzzler Bu, ehtimol men o'ynagan eng yaxshi ilova. Men odatda sharhlarimni qilmayman, lekin bu holda bu dastur butunlay loyiqdir. U o'ziga jalb qiladi, qiziqarli, hayratlanarli, ijodiy va yuqoridagilarga o'xshaydi. 5 STARS",1
"Men bu dasturni sevaman, lekin hozir uning juda sekin va hech qanday sababsiz muzlatish yoki uzilishga moyil.",0
Internet rasvo,0
"Katta darajada katta sevgini juda ko'p yaxshi ko'raman, iltimos, qo'shimchalardan qutuling",1
Qulay App Bizning 22 oylik nabiramiz hisoblashni yaxshi ko'radi va bu ilova bu ishni qiladi va unga boshqa narsalarni ham o'rgatadi. Ushbu ilova ajoyib,1
Mening mobil telefonim uchun juda uzoq vaqt yuklanmoqda ... Galaktikalar oldindan ... Mening mobilim uchun o'yinni yuklash uchun juda ko'p vaqt talab etadi.,0
"Ishlamaydi Ma'lumotlarni hech qanday yuklamaydi. Ayniqsa, men buning uchun pul to'laganim sababli so'radi.",0
"60 soniyadan so'ng, uy ekranga tushadi. Yaxshi otishma bo'lishi mumkin, lekin men uni etarli darajada ijro etish imkoniyatini topolmayapman. Umid qilamanki, muammolarni hal qilish uchun tuzatishlar kelib tushmoqda.",0
Ushbu reklamani qanday o'chirib yoki o'chirib qo'yishim telefonimni o'chirib yuboradi,0
"BOMBARDA MEN FACEBOOK MASALASIGA TAYYoRLANISh O'yin juda kulgili, ammo Facebook-da va do'stlarimga hech qanday javob berishdan to'xtamadi. O'chirilgan",0
Yaxshi ekan,1
Tug'ilgan joyi yo'qotilgan bu yoqimli ilovadan foydalanib rezervasyon qilingan. To'rtinchi qatorda va men bilan qiz do'sti uchun o'ynashlar uchun joylarni ajratib qo'ydi va bizni orqa tomondan uchinchi qatorda oddiy stullarga ko'chirdi. Yaxshi narsa o'rindiqlar hali ham birga edi. ..bo'yicha.,0
"O'yin qiziqarli edi, ammo 3.99 uchun faqat 10 daraja.",0
Katta ilovalar Mening 2 yoshli fotograflarimni eslab qolishlari va ularning ismlarini eslab qolishlariga imkon beradi.,1
"Ehhhhhh Umuman olganda, yaxshi o'yin, ammo har qanday jonivorda g'alaba qozona olmadim, shuning uchun 7 ta medallion bu g'alaba yoki meddalyonni va uning musaffoligini bermaydi. Hamma joyda xakerlar haqida gapirmaslik kerak",0
Bu ajoyib mashina va stuntsni yoqtiradigan odamlar uchun,1
Katta ilovalar Foydalanish oson va professional tarzda ishlab chiqilgan,1
"Qiziqarli o'yin Juda yaxshi o'yin, ba'zi javoblardan tashqari, men ularni juda aqlli deb o'ylamagan edim. Tasavvur qilganday aqlli emas. Umuman olganda, yaxshi toifadagi tanlovga ega bo'lgan ajoyib o'yin, men buni tavsiya qilaman.",1
keraksiz habarlarning operatorlar tomonidan yuborilishi,0
"Ko'mak bema'nilikdir Agar pullik litsenziyangiz bo'lsa, biron-bir yordamga tayanmang",0
Kamera ruxsati RIP Kyrell Tyler uchun,0
A'lo... eee...qoil...bizanikilar ham bor ekanku!!!,1
Samsung not 3 Bu juda chiroyli o'yin,1
"Ulasholmadi 2 Iltimos, xatoliklarni Chromecast oqimini tuzating. Ulana olmadi",0
"Hali o'yinni yangilay olmadim. Yangilashdan va yangilanishdan so'ng, hali birinchi yuklash ekranida xususda. Uninstall, keyin qayta o'rnating, yana bir xil ... bajarildi",0
